system:index,EVI_train,NBR_train,NDVI_change,NDVI_test,NDVI_train,NIR_train,RED_train,SWIR_test,SWIR_train,VH_VV_ratio,VH_test,VH_train,VV_test,VV_train,aspect,elevation,slope,.geo
2_10712,0.6434837579727173,0.6248324513435364,-0.03620774298906326,0.7538399696350098,0.7900477051734924,0.3939000070095062,0.04619999974966049,0.20819999277591705,0.19169999659061432,2.2645556926727295,-14.411656379699707,-13.482624053955078,-7.821661949157715,-5.953761100769043,262.8822021484375,2553.0,14.643044471740723,"{""type"":""Point"",""coordinates"":[29.340637247126025,-2.590627670233575]}"
2_10713,0.5760324001312256,0.5909935235977173,-0.008304674178361893,0.7518391609191895,0.7601438164710999,0.3427000045776367,0.04670000076293945,0.2079000025987625,0.18979999423027039,2.0863566398620605,-13.238324165344238,-12.969285011291504,-6.571194648742676,-6.216236114501953,212.6446075439453,2132.0,25.669675827026367,"{""type"":""Point"",""coordinates"":[29.24060968218298,-2.529083050043355]}"
2_10715,0.4920653998851776,0.5743582844734192,-0.025639109313488007,0.7074417471885681,0.7330808043479919,0.2897999882698059,0.04463333263993263,0.16859999299049377,0.16279999911785126,1.4290152788162231,-15.990747451782227,-16.91560173034668,-10.23476791381836,-11.837244033813477,341.54913330078125,1786.0,29.385801315307617,"{""type"":""Point"",""coordinates"":[29.012402848703456,-2.4638004167445757]}"
2_10716,0.43366071581840515,0.5513065457344055,0.012486504390835762,0.7610496878623962,0.7485632300376892,0.2433999925851822,0.03500000014901161,0.14550000429153442,0.15139999985694885,1.9085431098937988,-14.52199649810791,-15.084912300109863,-8.391595840454102,-7.903888702392578,8.137625694274902,2010.0,29.78400993347168,"{""type"":""Point"",""coordinates"":[29.162082981956647,-2.4806615661573432]}"
2_10721,0.7061649560928345,0.6479286551475525,0.019773345440626144,0.8497137427330017,0.8299403786659241,0.40674999356269836,0.03779999911785126,0.16695000231266022,0.18780000507831573,2.280258893966675,-14.681170463562012,-14.101912498474121,-7.009344100952148,-6.184347152709961,249.45074462890625,2629.0,7.876984596252441,"{""type"":""Point"",""coordinates"":[29.399937747272837,-1.5379842983970267]}"
2_10723,0.5968536138534546,0.47491639852523804,-0.005014244467020035,0.73234623670578,0.7373604774475098,0.3968999981880188,0.05999999865889549,0.2752000093460083,0.26899999380111694,1.4627056121826172,-18.9597225189209,-18.162260055541992,-13.983174324035645,-12.416893005371094,6.712932109832764,2676.0,28.994497299194336,"{""type"":""Point"",""coordinates"":[29.449244382287038,-1.7481775630753442]}"
2_10725,0.24509236216545105,0.3780323565006256,0.10900439321994781,0.5585879683494568,0.4495835602283478,0.2045000046491623,0.07765000313520432,0.15919999778270721,0.1517000049352646,1.743733525276184,-16.04230308532715,-15.775273323059082,-9.715519905090332,-9.046836853027344,146.2816925048828,997.0,3.3414223194122314,"{""type"":""Point"",""coordinates"":[29.021065056583343,-2.646846549213643]}"
2_10731,0.5435633063316345,0.5506504774093628,0.00983645673841238,0.7902833819389343,0.7804469466209412,0.31437501311302185,0.03876666724681854,0.16715000569820404,0.1754000037908554,1.6944937705993652,-13.091534614562988,-15.836860656738281,-5.635550498962402,-9.346071243286133,39.48779296875,1899.0,19.625078201293945,"{""type"":""Point"",""coordinates"":[29.361793042664765,-1.8921066256005823]}"
2_10732,0.5475072264671326,0.5374962687492371,0.030693620443344116,0.7404701709747314,0.7097765803337097,0.34306666254997253,0.05823333188891411,0.18960000574588776,0.20243333280086517,1.9262995719909668,-7.577547550201416,-15.29353141784668,0.661771833896637,-7.939331531524658,145.91171264648438,1582.0,33.60701370239258,"{""type"":""Point"",""coordinates"":[29.626238267410898,-1.6550335037302903]}"
2_10733,0.2707296907901764,0.272821307182312,0.05409231036901474,0.5013137459754944,0.44722139835357666,0.24609999358654022,0.09399999678134918,0.21240000426769257,0.2152000069618225,2.2578389644622803,-18.051692962646484,-15.352341651916504,-11.933294296264648,-6.7995734214782715,265.9184875488281,1750.0,12.813094139099121,"{""type"":""Point"",""coordinates"":[28.952894736840705,-2.5755459605094426]}"
2_10735,0.5006958842277527,0.42748773097991943,-0.016159649938344955,0.6752767562866211,0.6914364099502563,0.3285333216190338,0.05993333458900452,0.23890000581741333,0.24168333411216736,1.509293556213379,-14.923213958740234,-18.086740493774414,-7.667069911956787,-11.983580589294434,296.5467224121094,1574.0,8.243681907653809,"{""type"":""Point"",""coordinates"":[29.178228204128033,-2.291471241364089]}"
2_10736,0.4259764552116394,0.5623735785484314,-0.03568768501281738,0.7222789525985718,0.7579666376113892,0.23170000314712524,0.03189999982714653,0.1310500055551529,0.13619999587535858,1.6424815654754639,-11.17560863494873,-15.542877197265625,-4.055308818817139,-9.463045120239258,43.18040084838867,2203.0,19.554445266723633,"{""type"":""Point"",""coordinates"":[29.201617043180754,-2.5359082336752627]}"
2_10738,0.40181031823158264,0.3622661232948303,-0.03387449309229851,0.6042504906654358,0.6381250023841858,0.2621000111103058,0.05790000036358833,0.21690000593662262,0.2029000073671341,1.7833393812179565,-14.8413667678833,-15.103719711303711,-7.698577404022217,-8.46934700012207,134.9817352294922,2421.0,5.233748435974121,"{""type"":""Point"",""coordinates"":[29.502662660423745,-2.0457073963852404]}"
2_10739,0.4960956871509552,0.43557077646255493,0.053918782621622086,0.7167567610740662,0.6628379821777344,0.34744998812675476,0.07045000046491623,0.241799995303154,0.24624000489711761,2.796450138092041,-16.045080184936523,-12.66491985321045,-8.443629264831543,-4.528927326202393,267.88031005859375,1810.0,23.637100219726562,"{""type"":""Point"",""coordinates"":[29.434643884668684,-2.0914319583687497]}"
2_10744,0.4131292700767517,0.40324658155441284,0.09714236855506897,0.7474454045295715,0.6503030061721802,0.27230000495910645,0.05770000070333481,0.1704999953508377,0.19975000619888306,8.98579216003418,-15.856082916259766,-10.429709434509277,-10.587705612182617,-1.160688877105713,218.68865966796875,1665.0,11.716377258300781,"{""type"":""Point"",""coordinates"":[28.909969730879265,-2.6024024565462036]}"
2_10746,0.49692103266716003,0.6064516305923462,0.02463557943701744,0.7957813739776611,0.7711458206176758,0.2863500118255615,0.03700000047683716,0.13934999704360962,0.1467999964952469,1.9522371292114258,-14.097007751464844,-14.336494445800781,-6.5562520027160645,-7.343623161315918,26.579225540161133,2472.0,12.254777908325195,"{""type"":""Point"",""coordinates"":[29.512420870226514,-2.0146234806115446]}"
2_10748,0.6021305322647095,0.6570598483085632,-0.03347311168909073,0.7665795087814331,0.8000526428222656,0.34209999442100525,0.03799999877810478,0.18569999933242798,0.16599999368190765,13.47404956817627,-16.78792381286621,-7.798572063446045,-9.438173294067383,-0.5787845253944397,306.3570556640625,2053.0,20.921476364135742,"{""type"":""Point"",""coordinates"":[29.154453675152983,-2.5595390717785844]}"
2_10751,0.2916571795940399,0.2918262481689453,0.11040220409631729,0.6182477474212646,0.5078455209732056,0.23463332653045654,0.07658333331346512,0.21484999358654022,0.19866666197776794,1.5369654893875122,-17.282304763793945,-16.47570037841797,-11.09587287902832,-10.719629287719727,350.8330383300781,1592.0,26.9448184967041,"{""type"":""Point"",""coordinates"":[29.64657290431036,-1.8345653477672401]}"
2_10752,0.40030592679977417,0.5274688005447388,-0.05088155344128609,0.6778997182846069,0.7287812232971191,0.22660000622272491,0.03554999828338623,0.13905000686645508,0.14169999957084656,1.7173106670379639,-13.7589111328125,-15.723520278930664,-7.858000755310059,-9.155898094177246,50.22361755371094,2545.0,14.19875431060791,"{""type"":""Point"",""coordinates"":[29.339056437760117,-2.6074838906368076]}"
2_10753,0.51417475938797,0.5230125188827515,-0.061245325952768326,0.6867772936820984,0.7480226159095764,0.3093999922275543,0.044599998742341995,0.22540000081062317,0.18479999899864197,1.5784465074539185,-15.664362907409668,-15.171409606933594,-9.159064292907715,-9.611607551574707,90.0,1784.0,4.630682945251465,"{""type"":""Point"",""coordinates"":[29.30823486463817,-2.1730475328505183]}"
2_10754,0.4474712312221527,0.5876601338386536,-0.010648909956216812,0.7680101990699768,0.7786591053009033,0.23544999957084656,0.02930000051856041,0.13580000400543213,0.13169999420642853,1.8312487602233887,-13.102945327758789,-13.415678024291992,-6.728148460388184,-7.325972557067871,187.6015167236328,2124.0,13.764643669128418,"{""type"":""Point"",""coordinates"":[29.17600918237141,-2.4502010821784768]}"
