system:index,EVI_train,NBR_train,NDVI_change,NDVI_test,NDVI_train,NIR_train,RED_train,SWIR_test,SWIR_train,VH_VV_ratio,VH_test,VH_train,VV_test,VV_train,aspect,elevation,label,slope,.geo
2_4574_0,0.41910946,0.4268675,0.0017196116,0.64596677,0.6442471,0.2901,0.062766664,0.22146666,0.208575,1.567432,-14.9115925,-15.455915,-9.305487,-9.860661,81.036514,1628.0,0,17.31188,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.87890500658176,-2.6072253648642936]}"
2_4575_0,0.6515146,0.6459227,0.030322218,0.82405466,0.79373246,0.3835,0.0441,0.1864,0.1849,2.5904148,-11.407792,-10.283854,-4.8623395,-3.9699638,198.45181,2002.0,0,37.521694,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.181277931216393,-2.536617783532499]}"
2_4576_0,0.620609,0.5418862,0.017641544,0.75006896,0.7324274,0.40116668,0.06196,0.24163334,0.23393333,2.8009803,-12.9010315,-12.165489,-5.8578467,-4.343297,221.2198,1549.0,0,27.316463,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.2106528410071,-2.798297025796516]}"
2_4577_0,0.29342544,0.31573018,-0.09407379,0.39098662,0.4850604,0.24333334,0.084375,0.1965,0.194675,2.0535872,-15.228498,-15.214148,-7.6062264,-7.4085712,314.97223,1779.0,0,1.3120773,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.921754645634262,-2.5228735596854706]}"
2_4578_0,0.40236995,0.3738969,0.015678125,0.63860196,0.62292385,0.27115,0.063,0.23655,0.222,1.9289333,-14.815486,-12.931251,-8.742213,-6.703835,330.5424,1199.0,0,35.944324,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.17750500702309,-2.841146664849017]}"
2_4579_0,0.37001833,0.31384876,0.05596884,0.6447158,0.58874696,0.253425,0.0656,0.22396667,0.23375,2.3363814,-14.400035,-12.705869,-8.200118,-5.438268,206.5906,1428.0,0,23.483038,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.941427750356482,-2.7047824047196736]}"
2_4580_0,0.39094988,0.28159738,0.025858633,0.5580353,0.53217673,0.3113,0.09505,0.289075,0.27986667,1.3224593,-18.014235,-20.305832,-12.90758,-15.354599,3.9224858,1417.0,0,49.827236,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.90558497052011,-2.667592151957125]}"
2_4581_0,0.5877457,0.6807643,-0.0256972,0.79115766,0.81685483,0.32985,0.03325,0.1418,0.15295,2.2392418,-13.97342,-11.307967,-7.2928624,-5.049909,278.12268,1659.0,0,12.905823,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.04814760610988,-2.465471213030233]}"
2_4582_0,0.4566926,0.39999998,-0.013046731,0.63493973,0.6479865,0.2926,0.0625,0.2015,0.2171,1.3108877,-20.183308,-22.045462,-14.472488,-16.8172,79.79069,2511.0,0,45.132362,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.894266197940205,-2.9050168815499147]}"
2_4584_0,0.6375753,0.609999,0.029109044,0.8173709,0.78826183,0.3961,0.0469,0.1996,0.1994,1.623532,-14.039902,-15.909039,-8.850625,-9.799029,138.2081,2465.0,0,31.296848,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.324379555976634,-2.6993925130149563]}"
2_4586_0,0.3792957,0.57494235,0.024778409,0.7988044,0.774026,0.2049,0.0261,0.1291,0.123,1.9357461,-14.136796,-14.226683,-7.5418606,-7.3494573,134.97112,2494.0,0,5.234715,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.349712046988802,-2.5727300579541037]}"
2_4588_0,0.3454049,0.38579983,0.13225617,0.68646145,0.5542053,0.243,0.0697,0.19963333,0.18183333,1.7458605,-14.7425375,-13.899554,-8.907979,-7.961435,225.03429,925.0,0,2.6230774,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.06620374332068,-2.8026089391602893]}"
2_4589_0,0.5134237,0.47970396,-7.535696E-4,0.71390337,0.71465695,0.3299,0.0549,0.2288,0.2223,2.0624573,-14.713154,-13.723866,-7.1270485,-6.654134,258.70215,1574.0,0,9.383756,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.248651577525358,-2.6824143541450973]}"
2_4590_0,0.5703761,0.586324,0.04390113,0.80061436,0.7567132,0.3271,0.0453,0.15015,0.1802,2.552981,-11.720993,-10.578754,-6.366444,-4.1436872,193.00742,1385.0,0,32.941174,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.08533785887243,-2.587013270971604]}"
2_4592_0,0.26519385,0.3431019,-4.0745863E-4,0.6610538,0.66146123,0.14895,0.03035,0.1255,0.12725,1.2718111,-18.739124,-20.638113,-14.548274,-16.22734,93.01008,2825.0,0,31.655539,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.253502480059602,-2.433401357387166]}"
2_4593_0,0.51012677,0.5738636,0.024054822,0.80140483,0.77735,0.277,0.0347,0.1616,0.161,1.4444234,-17.23004,-19.569038,-10.656002,-13.547994,33.715034,2418.0,0,19.305195,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.297430097453045,-2.4891867365309883]}"
2_4594_0,0.43566748,0.5784874,-0.0038496365,0.7742647,0.7781143,0.2348,0.0293,0.14525,0.1346,4.1681175,-12.724421,-10.033886,-4.5870357,-2.4072943,301.9762,2216.0,0,24.63237,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.334620350215594,-2.728228433635193]}"
2_4595_0,0.5095355,0.47695673,0.06690241,0.7695828,0.7026804,0.32661667,0.057033334,0.21725,0.2137,1.8583648,-15.779392,-15.95703,-8.976174,-8.586597,26.590862,1484.0,0,19.902847,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.232481902411205,-2.7182571339814663]}"
2_4596_0,0.51910853,0.43803716,-0.010431984,0.6813922,0.69182414,0.34091666,0.0621,0.23323333,0.237,1.7370617,-16.567225,-16.02276,-9.593351,-9.224059,201.82497,1076.0,0,9.891569,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.13842829216389,-2.7966800582851006]}"
2_4597_0,0.5035565,0.56682545,-0.028048545,0.72768146,0.75573,0.2796,0.0389,0.1445,0.1563,1.8466774,-14.525031,-14.722823,-7.6453156,-7.9726014,189.87517,2186.0,0,20.702484,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.172923599074082,-2.51963962466264]}"
2_4598_0,0.4363981,0.40063494,0.06095104,0.7360972,0.67514616,0.27575,0.053475,0.20173334,0.208575,1.8025087,-15.175345,-14.716403,-7.358768,-8.1644,204.46696,1164.0,0,11.069161,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.999638580767424,-2.6449546067973135]}"
2_4599_0,0.3915097,0.40728155,0.10012265,0.68818074,0.58805805,0.2899,0.0752,0.200925,0.21175,2.0768278,-13.503846,-14.350704,-6.7801595,-6.9099154,144.43,1521.0,0,22.681314,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.222510602757477,-2.7980275312112797]}"
