EVI_train,NBR_train,NDVI_change,NDVI_test,NDVI_train,NIR_train,RED_train,SWIR_test,SWIR_train,VH_VV_ratio,VH_test,VH_train,VV_test,VV_train,aspect,elevation,label,slope
0.29188126,0.18072079,-0.07019197,0.41951817,0.48971012,0.22741666,0.0779,0.249675,0.24526666,1.7543858,-16.773115,-15.835527,-10.665667,-9.026252,299.03345,1445.0,1,9.468316
0.32218558,0.21274567,-0.10252929,0.41735107,0.51988035,0.2413,0.076225,0.2669,0.2449,1.5999042,-17.662003,-15.849611,-11.197178,-9.906601,306.84598,1423.0,1,4.6299334
0.29526186,0.18078093,-0.044823855,0.44232285,0.4871467,0.23285,0.0803,0.25635,0.25265,1.5708821,-17.210545,-16.154438,-10.745395,-10.283673,314.9751,1413.0,1,10.38276
0.30674866,0.18763462,-0.08470764,0.41183725,0.4965449,0.24003333,0.08075,0.2822,0.25515,1.5959918,-16.932184,-16.39056,-11.346062,-10.269827,345.95206,1414.0,1,14.9486685
0.31524476,0.21446069,-0.1095954,0.40899354,0.51858896,0.23963334,0.07596666,0.2735,0.251,1.5495232,-17.31259,-16.310183,-10.698673,-10.525936,342.88327,1405.0,1,12.418022
0.33594036,0.2276327,-0.10163449,0.4400498,0.54168427,0.24286667,0.0722,0.275,0.24535,1.5424058,-17.077978,-15.841684,-10.83257,-10.270762,326.28696,1416.0,1,13.144478
0.29670092,0.19368772,-0.1598187,0.340625,0.5004437,0.23953333,0.07975,0.2638,0.24706666,1.587735,-18.045126,-15.825519,-11.672182,-9.967355,330.9243,1383.0,1,9.464037
0.28152016,0.23473358,-0.15146428,0.33456382,0.48602813,0.23,0.07955,0.3234,0.227575,1.6562134,-17.452791,-15.470124,-11.539535,-9.340659,90.0,1410.0,1,3.7079918
0.32609966,0.2385681,-0.0885959,0.45739236,0.54598826,0.237,0.0696,0.2723,0.2315,1.6380119,-16.59188,-15.927224,-10.516323,-9.723509,336.01923,1413.0,1,9.059752
0.29738483,0.25790027,-0.14952801,0.36831713,0.51784515,0.2254,0.0716,0.2905,0.21576667,1.6418784,-18.225668,-15.219368,-11.571647,-9.269485,26.584728,1391.0,1,4.141351
0.2873585,0.16724724,-0.062579215,0.41708207,0.4796613,0.23735,0.083466664,0.2511,0.2568,1.5596961,-16.732533,-16.434742,-10.202374,-10.537144,353.65436,1385.0,1,8.339482
0.32482722,0.25944933,-0.17233036,0.34183514,0.5141655,0.2699,0.0866,0.251,0.24283333,1.5923842,-17.801476,-15.662332,-11.6425,-9.835773,344.04147,1375.0,1,6.7216706
0.36545375,0.28090712,-0.15872455,0.41290814,0.5716327,0.261225,0.0712,0.2425,0.23504,1.5954294,-16.690228,-15.2907715,-10.777576,-9.58411,-0.0,1370.0,1,5.547545
0.2858182,0.23880526,-0.108487315,0.37250495,0.48099226,0.22985,0.08055,0.2899,0.22746,1.65242,-16.125195,-15.228234,-10.942797,-9.215716,185.1989,1391.0,1,10.137421
